# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
vaginal fluids on penis	9393	-
improvised sex toy	9356	-
vaginal fluid drip	9343	-
darkened genitalia	9325	-
gaping vagina	9312	-
face fucking	9204	-
tight fit	9175	-
penetrable sex toy	9118	-
simultaneous orgasms	9007	-
foursome	8917	-
prince albert piercing	8859	-
dildo in vagina	8813	-
unusual cum	8773	-
mostly nude anthro	8670	-
censored genitalia	8661	-
intersex penetrating male	8604	-
breast milking	8483	-
nipple pinch	8464	-
wearing condom	8364	-
animal sex toy	8249	-
vaginal fluid string	8247	-
breast fondling	8214	-
animal dildo	8208	-
tenting	8139	-
udders	8080	-
gynomorph penetrating male	8027	-
multicolored penis	7994	-
hyper thighs	7967	-
on glass	7862	-
cum on own penis	7859	-
nipple barbell	7835	-
young penetrated	7809	-
after orgasm	7693	-
dominant intersex	7680	-
drinking cum	7679	-
ridiculous fit	7602	-
mastery position	7536	-
cum covered	7492	-
ambiguous penetrated	7362	-
breast squeeze	7217	-
ball lick	7185	-
vulva piercing	7181	-
mismatched genitalia	7118	-
ambiguous fluids	7071	-
consentacles	7010	-
unusual genitalia	7004	-
plug insertion	6998	-
apron only	6945	-
huge penetration	6806	-
back boob	6794	-
mismatched penis	6789	-
clitoral	6763	-
butt squish	6738	-
buttplug insertion	6720	-
tongue out fellatio	6689	-
genital focus	6680	-
nipple suck	6675	-
cum in self	6668	-
reverse stand and carry position	6616	-
buttplug in ass	6570	-
reach around	6516	-
indoor nudity	6510	-
long foreskin	6492	-
butt blush	6417	-
genital worship	6380	-
intersex penetrating intersex	6362	-
huge bulge	6351	-
casual exposure	6346	-
shaking butt	6318	-
diphallism	6310	-
stand and carry position	6270	-
table lotus position	6242	-
butt pose	6237	-
nude humanoid	6236	-
male penetrating ambiguous	6232	-
glistening balls	6205	-
andromorph penetrated	6178	-
butt jiggle	6173	-
hairy balls	6161	-
cuckold	6149	-
older penetrated	6008	-
shallow penetration	5992	-
mismatched animal penis	5967	-
clitoral winking	5933	-
collaborative oral	5926	-
colored cum	5897	-
dominant gynomorph	5879	-
cervical contact	5873	-
audible ejaculation	5843	-
tentacle in ass	5807	-
two tone penis	5787	-
collaborative fellatio	5763	-
belly inflation	5760	-
tail sex	5753	-
balls touching	5747	-
censored penis	5739	-
unusual penis	5713	-
ball grab	5661	-
internal anal	5596	-
ridged penis	5577	-
breast growth	5567	-
nipple tape	5517	-
bedroom sex	5514	-
y anus	5508	-
gynomorph penetrating intersex	5452	-
equine dildo	5448	-
veiny balls	5425	-
penis tuck	5410	-
mostly nude female	5401	-
exposed	5391	-
kneeling oral position	5390	-
penis base	5352	-
female penetrating male	5339	-
animal genitalia on humanoid	5282	-
precum on penis	5239	-
frenum piercing	5226	-
intersex anthro	5184	-
male penetrating gynomorph	5157	-
indoor sex	5126	-
obscured penetration	5123	-
pregnant sex	5100	-
countershade butt	5065	-
maleherm	5057	-
nude beach	5054	-
cleavage overflow	4912	-
almost fully inside	4882	-
nude intersex	4848	-
anthro penetrating humanoid	4846	-
huge anus	4835	-
precum through clothing	4801	-
male penetrating andromorph	4798	-
monotone genitals	4796	-
freckled butt	4790	-
after oral	4777	-
humanoid penetrating humanoid	4776	-
leg glider position	4759	-
sex on the beach	4758	-
throbbing balls	4754	-
nude gynomorph	4734	-
anvil position	4726	-
big clitoris	4718	-
cum on clothing	4667	-
cum on arm	4664	-
small top big bottom	4651	-
cum through	4619	-
pregnant male	4602	-
impregnation request	4566	-
darkened balls	4552	-
becoming erect	4511	-
small balls	4495	-
clothed gynomorph	4487	-
chastity device only	4484	-
stretched anus	4473	-
clothed intersex	4468	-
hyper hips	4464	-
penis worship	4411	-
intersex penetrating gynomorph	4408	-
